year,sector,share_of_total
1980,Cement,0.02092531331993082
1980,Coal,0.3598693710953022
1980,Flaring,0.016303934823004036
1980,Gas,0.14124385561453437
1980,Oil,0.4591740880492646
1980,Other industry,0.0024833855775793176
1981,Cement,0.021514525929254593
1981,Coal,0.3677452717079606
1981,Flaring,0.0125625034560828
1981,Gas,0.1463669869462296
1981,Oil,0.44933864611385865
1981,Other industry,0.0024720658466136952
1982,Cement,0.021572480816874042
1982,Coal,0.3773141669543553
1982,Flaring,0.012578016290881103
1982,Gas,0.14423578285274832
1982,Oil,0.44187784327194685
1982,Other industry,0.002421869986249677
1983,Cement,0.021864348718572724
1983,Coal,0.3845797021708278
1983,Flaring,0.01126074138539899
1983,Gas,0.14512499487481995
1983,Oil,0.43459902575287235
1983,Other industry,0.002571187097508038
1984,Cement,0.021643192126328235
1984,Coal,0.38988628917241647
1984,Flaring,0.009598118953089464
1984,Gas,0.15274650837091572
1984,Oil,0.4234260237186653
1984,Other industry,0.0026998676585848463
1985,Cement,0.02113397346013224
1985,Coal,0.40431270244925466
1985,Flaring,0.009007209431009782
1985,Gas,0.1533740884710906
1985,Oil,0.4094151943351513
1985,Other industry,0.0027568814938081234
1986,Cement,0.02161576608721627
1986,Coal,0.4042199730942955
1986,Flaring,0.00830167464647426
1986,Gas,0.147499724166377
1986,Oil,0.41543083010141135
1986,Other industry,0.0029320319042256734
1987,Cement,0.02171789516335706
1987,Coal,0.4050579192671875
1987,Flaring,0.007723279650343319
1987,Gas,0.15547889768257075
1987,Oil,0.4064842307628346
1987,Other industry,0.0035378248531745832
1988,Cement,0.02198701422653731
1988,Coal,0.4031446401428986
1988,Flaring,0.008468956906130986
1988,Gas,0.15675971756791307
1988,Oil,0.40555860013223377
1988,Other industry,0.004081071024286232
1989,Cement,0.02216523778397982
1989,Coal,0.3976447433184538
1989,Flaring,0.006800520337349917
1989,Gas,0.16238393748744664
1989,Oil,0.407085553638607
1989,Other industry,0.003919962389550047
1990,Cement,0.021666323173638036
1990,Coal,0.3809489601619205
1990,Flaring,0.011296250309858574
1990,Gas,0.16673226393725712
1990,Oil,0.4045565871588449
1990,Other industry,0.014799527277342284
1991,Cement,0.02174880951108681
1991,Coal,0.36948378649422087
1991,Flaring,0.011728207580310816
1991,Gas,0.16597378769737914
1991,Oil,0.41612758683338047
1991,Other industry,0.01493773569749912
1992,Cement,0.0233531127122651
1992,Coal,0.37127071852643634
1992,Flaring,0.010647845706635009
1992,Gas,0.17323679163411845
1992,Oil,0.40650455781827205
1992,Other industry,0.014986973602273208
1993,Cement,0.02415692606284
1993,Coal,0.37231100147240387
1993,Flaring,0.010217199893819187
1993,Gas,0.1761681922356226
1993,Oil,0.4031811957807413
1993,Other industry,0.013965396641994442
1994,Cement,0.02553881465085918
1994,Coal,0.3705721858550038
1994,Flaring,0.01362056476461525
1994,Gas,0.17585395835870554
1994,Oil,0.40027838571974145
1994,Other industry,0.014136134177407585
1995,Cement,0.026372986377857822
1995,Coal,0.3724359165440266
1995,Flaring,0.013792957403479298
1995,Gas,0.17846291725616062
1995,Oil,0.3947800959142163
1995,Other industry,0.014155041458092717
1996,Cement,0.02614395779854455
1996,Coal,0.37043648338205865
1996,Flaring,0.01438291335576814
1996,Gas,0.18080769012222225
1996,Oil,0.3945837817660256
1996,Other industry,0.013645173575380868
1997,Cement,0.027022981894988914
1997,Coal,0.36616825651441354
1997,Flaring,0.014387832941665003
1997,Gas,0.1802707117650046
1997,Oil,0.397952537296267
1997,Other industry,0.014197679587660902
1998,Cement,0.02702517929809263
1998,Coal,0.3576351515182946
1998,Flaring,0.013787699912326097
1998,Gas,0.1828925127655237
1998,Oil,0.4042678228871077
1998,Other industry,0.014391633618655274
