year,emissions_mtco2,sector
2013,1441.334,Cement
2013,14953.153,Coal
2013,382.017,Flaring
2013,6573.116,Gas
2013,11516.626,Oil
2013,409.574,Other industry
2014,1492.451,Cement
2014,15014.883,Coal
2014,383.772,Flaring
2014,6604.976,Gas
2014,11561.832,Oil
2014,407.78,Other industry
2015,1440.666,Cement
2015,14655.017,Coal
2015,381.194,Flaring
2015,6728.989,Gas
2015,11770.022,Oil
2015,427.64,Other industry
2016,1476.147,Cement
2016,14322.989,Coal
2016,371.508,Flaring
2016,6914.85,Gas
2016,11900.264,Oil
2016,407.072,Other industry
2017,1499.947,Cement
2017,14494.168,Coal
2017,384.212,Flaring
2017,7084.615,Gas
2017,12085.292,Oil
2017,426.376,Other industry
2018,1546.849,Cement
2018,14762.694,Coal
2018,404.041,Flaring
2018,7419.413,Gas
2018,12142.828,Oil
2018,458.178,Other industry
2019,1615.727,Cement
2019,14702.956,Coal
2019,432.392,Flaring
2019,7574.056,Gas
2019,12325.908,Oil
2019,435.527,Other industry
2020,1624.052,Cement
2020,14267.035,Coal
2020,400.001,Flaring
2020,7520.82,Gas
2020,10932.342,Oil
2020,413.979,Other industry
2021,1666.885,Cement
2021,14969.249,Coal
2021,402.216,Flaring
2021,7878.698,Gas
2021,11513.166,Oil
2021,436.649,Other industry
2022,1578.739,Cement
2022,15449.177,Coal
2022,398.871,Flaring
2022,7758.746,Gas
2022,11914.912,Oil
2022,427.327,Other industry
2023,1540.286,Cement
2023,15636.373,Coal
2023,411.343,Flaring
2023,7802.845,Gas
2023,12278.241,Oil
2023,424.955,Other industry
2024,1472.818,Cement
2024,15805.254,Coal
2024,415.708,Flaring
2024,8009.828,Gas
2024,12470.596,Oil
2024,424.376,Other industry
