year,emissions_mtco2,sector,yoy_change_mtco2,yoy_change_pct
1897,1554.677,Coal,69.43299999999999,0.04674854771337235
1897,7.288,Gas,0.4400000000000004,0.0642523364485982
1897,55.527,Oil,2.959000000000003,0.05628899710850714
1897,0.0,Other industry,0.0,
1898,1.007,Cement,0.09299999999999986,0.1017505470459517
1898,1640.331,Coal,85.654,0.05509440224561115
1898,8.46,Gas,1.1720000000000006,0.16081229418221743
1898,57.169,Oil,1.641999999999996,0.029571199596592573
1898,0.0,Other industry,0.0,
1899,1.29,Cement,0.28300000000000014,0.2810327706057599
1899,1792.204,Coal,151.87300000000005,0.09258680107856283
1899,10.904,Gas,2.443999999999999,0.28888888888888875
1899,60.026,Oil,2.8570000000000064,0.0499746366037539
1899,0.0,Other industry,0.0,
1900,1.395,Cement,0.10499999999999998,0.08139534883720928
1900,1882.645,Coal,90.44100000000003,0.05046356329971367
1900,11.542,Gas,0.6379999999999999,0.058510638297872335
1900,67.303,Oil,7.276999999999994,0.12123079998667233
1900,0.0,Other industry,0.0,
1901,1.666,Cement,0.2709999999999999,0.19426523297491033
1901,1936.356,Coal,53.71100000000001,0.028529542213215988
1901,12.861,Gas,1.3190000000000008,0.11427828799168263
1901,74.746,Oil,7.442999999999998,0.11058942394841238
1901,0.0,Other industry,0.0,
1902,2.158,Cement,0.492,0.29531812725090034
1902,1980.299,Coal,43.942999999999984,0.022693657571231728
1902,13.696,Gas,0.8349999999999991,0.06492496695435807
1902,80.803,Oil,6.057000000000002,0.0810344366253713
1902,0.0,Other industry,0.0,
1903,2.548,Cement,0.3900000000000001,0.18072289156626511
1903,2161.955,Coal,181.65599999999995,0.09173160214694849
1903,14.528,Gas,0.8320000000000007,0.060747663551401924
1903,85.56,Oil,4.757000000000005,0.05887157655037567
1903,0.0,Other industry,0.0,
1904,2.749,Cement,0.20100000000000007,0.07888540031397177
1904,2174.434,Coal,12.47900000000027,0.005772090538424837
1904,15.165,Gas,0.6369999999999987,0.04384636563876643
1904,96.073,Oil,10.512999999999991,0.12287283777466095
1904,1.834,Other industry,1.834,
1905,3.512,Cement,0.7629999999999999,0.27755547471807923
1905,2320.898,Coal,146.46399999999994,0.06735729849698815
1905,17.17,Gas,2.0050000000000026,0.13221233102538757
1905,97.01,Oil,0.9370000000000118,0.009753000322671426
1905,1.98,Other industry,0.1459999999999999,0.07960741548527803
1906,4.497,Cement,0.9849999999999999,0.2804669703872437
1906,2425.449,Coal,104.55099999999993,0.04504764965974374
1906,19.027,Gas,1.8569999999999993,0.10815375655212575
1906,97.878,Oil,0.867999999999995,0.008947531182352282
1906,2.127,Other industry,0.1469999999999998,0.07424242424242414
1907,4.63,Cement,0.133,0.029575272403824775
1907,2758.979,Coal,333.52999999999975,0.13751268321865343
1907,19.877,Gas,0.8499999999999979,0.04467335891102107
1907,119.41,Oil,21.531999999999996,0.21998814851141213
1907,2.054,Other industry,-0.07299999999999995,-0.03432063939821343
1908,4.824,Cement,0.19399999999999995,0.04190064794816414
1908,2635.282,Coal,-123.69699999999966,-0.044834339079782654
1908,19.676,Gas,-0.2010000000000005,-0.010112189968305103
1908,128.779,Oil,9.369,0.07846076543003098
1908,1.834,Other industry,-0.21999999999999975,-0.10710808179162598
1909,6.06,Cement,1.2359999999999998,0.25621890547263676
1909,2740.823,Coal,105.54099999999971,0.04004922433348678
1909,23.523,Gas,3.8470000000000013,0.19551738158162235
1909,134.358,Oil,5.579000000000008,0.04332228080665332
1909,2.347,Other industry,0.5129999999999999,0.27971646673936745
1910,7.083,Cement,1.0230000000000006,0.1688118811881189
1910,2871.834,Coal,131.01099999999997,0.04779987616858147
1910,24.915,Gas,1.3919999999999995,0.059176125494197145
